state,price
AL,4.636387156
AK,5.680861468
AZ,4.792570642
AR,4.096007339
CA,5.680861468
CO,4.792570642
CT,7.555913761
DE,5.097354128
FL,5.097354128
GA,5.097354128
HI,5.680861468
ID,4.792570642
IL,5.119414679
IN,5.119414679
IA,4.584278899
KS,4.584278899
KY,4.636387156
LA,4.096007339
ME,7.555913761
MD,5.097354128
MA,7.555913761
MI,5.119414679
MN,4.584278899
MS,4.636387156
MO,4.584278899
MT,4.792570642
NE,4.584278899
NV,4.792570642
NH,7.555913761
NJ,5.678173394
NM,4.792570642
NY,5.678173394
NC,5.097354128
ND,4.584278899
OH,5.119414679
OK,4.096007339
OR,5.680861468
PA,5.678173394
RI,7.555913761
SC,5.097354128
SD,4.584278899
TN,4.636387156
TX,4.096007339
UT,4.792570642
VT,7.555913761
VA,5.097354128
WA,5.680861468
WV,5.097354128
WI,5.119414679
WY,4.792570642